kod;cena za l kartonovy;supplierId;typeid;popis;balenie;kategoria
1211146-001-01-999;10.17;8;9;RAVENOL ATF T-ULV Fluid - 1 L (VE 12 Stück);1 L;AISIN WARNER - 8 RÝCHLOSTNÝ
1211146-004-01-999;9.89;8;9;RAVENOL ATF T-ULV Fluid - 4 L (VE 4 Stück);4 L;
1211146-010-01-999;9.64;8;9;RAVENOL ATF T-ULV Fluid - 10 L;plast;
1211146-B20-01-888;9.54;8;9;RAVENOL ATF T-ULV  Fluid - 20 L Bag in Box;bag;
1211144-001-01-999;5.53;8;9;RAVENOL Multi ATF HVS Fluid - 1 L (VE 12 Stück);1 L;MULTI OLEJ
1211144-004-01-999;4.9;8;9;RAVENOL Multi ATF HVS Fluid - 4 L (VE 4 Stück);4 L;
1211144-010-01-999;4.65;8;9;RAVENOL Multi ATF HVS Fluid - 10 L;plast;
1211144-B20-01-888;4.5;8;9;RAVENOL Multi ATF HVS Fluid - 20 L Bag in Box;bag;
1211145-001-01-999;5.9;8;9;RAVENOL Multi ATF LVS Fluid - 1 L (VE 12 Stück);1 L;MULTI OLEJ
1211145-004-01-999;5.7;8;9;RAVENOL Multi ATF LVS Fluid - 4 L (VE 4 Stück);4 L;
1211145-010-01-999;5.5;8;9;RAVENOL Multi ATF LVS Fluid - 10 L;plast;
1211145-B20-01-888;5.4;8;9;RAVENOL Multi ATF LVS Fluid - 20 L Bag in Box;bag;
1212106-001-01-999;7.99;8;9;RAVENOL DCT/DSG Getriebe Fluid - 1 L (VE 12 Stück);1 L;VW, AUDI, BMW, FORD, VOLVO ...
1212106-004-01-999;7.5;8;9;RAVENOL DCT/DSG Getriebe Fluid - 4 L (VE 4 Stück);4 L;
1212106-010-01-999;7.19;8;9;RAVENOL DCT/DSG Getriebe Fluid - 10 L;plast;
1212106-020-01-999;7.19;8;9;RAVENOL DCT/DSG Getriebe Fluid - 20 L;plast;
1212106-060-01-999;6.99;8;9;RAVENOL DCT/DSG Getriebe Fluid - 60 L;sud;
1212106-B20-01-888;7.19;8;9;RAVENOL DCT/DSG Getriebe Fluid - 20 L Bag in Box;bag;
1211129-001-01-999;24.9;8;9;RAVENOL DCT GT-R Fluid - 1 L (VE 12 Stück);1 L;Nissan GT-R
1211129-004-01-999;23.9;8;9;RAVENOL DCT GT-R Fluid - 4 L (VE 4 Stück);4 L;
1211135-001-01-999;9.9;8;9;RAVENOL ATF DCT-F3 - 1 L (VE 12 Stück);1 L;pre 7DCL750 - MB 236.25
1211135-004-01-999;9.4;8;9;RAVENOL ATF DCT-F3 - 4 L (VE 4 Stück);4 L;
1211131-001-01-999;9.5;8;9;RAVENOL ATF PDK Fluid - 1 L (VE 12 Stück);1 L;PORSCHE PDK
