kod;cena za l kartonovy;supplierId;typeid
1211149-001-01-999;12.90;8;9
1211149-004-01-999;11.50;8;9
1324101-001-01-999;16.50;8;9
1211146-001-01-999;11.50;8;9
1211146-004-01-999;10.50;8;9
1211146-010-01-999;9.90;8;9
1211146-B20-01-888;9.60;8;9
1211144-001-01-999;5.90;8;9
1211144-010-01-999;5.50;8;9
1211145-001-01-999;5.90;8;9
1211145-010-01-999;5.50;8;9
1212106-001-01-999;8.88;8;9
1212106-004-01-999;8.71;8;9
1212106-010-01-999;8.05;8;9
1212106-020-01-999;7.99;8;9
1212106-B20-01-888;7.94;8;9
1211129-001-01-999;28.00;8;9
1211129-004-01-999;25.00;8;9
1211135-001-01-999;9.90;8;9
1211135-004-01-999;9.40;8;9
1211131-001-01-999;9.98;8;9
1212104-001-01-999;6.13;8;9
1212104-004-01-999;5.82;8;9
1212104-B20-01-888;5.45;8;9
1211112-001-01-999;6.74;8;9
1211112-004-01-999;6.43;8;9
1211112-010-01-999;6.25;8;9
1211112-020-01-999;6.19;8;9
1211112-B20-01-888;6.14;8;9
1211124-001-01-999;9.24;8;9
1211124-004-01-999;8.92;8;9
1211124-B20-01-888;8.71;8;9
1211102-001-01-999;7.99;8;9
1211102-010-01-999;7.50;8;9
1211102-020-01-999;7.50;8;9
1212102-001-01-999;6.10;8;9
1212102-004-01-999;5.78;8;9
1212102-010-01-999;5.54;8;9
1212102-020-01-999;5.47;8;9
1212102-B20-01-888;5.41;8;9
1211106-001-01-999;6.82;8;9
1211106-004-01-999;6.50;8;9
1211106-020-01-999;6.16;8;9
1211106-B20-01-888;6.10;8;9
1211109-001-01-999;6.62;8;9
1211107-001-01-999;7.02;8;9
1211107-B20-01-888;6.32;8;9
1211138-001-01-999;6.99;8;9
1211138-004-01-999;6.80;8;9
1211138-020-01-999;6.49;8;9
1211138-B20-01-888;6.49;8;9
1212103-001-01-999;6.00;8;9
1212103-B20-01-888;5.42;8;9
1211126-001-01-999;8.54;8;9
1211126-010-01-999;7.99;8;9
1211126-B20-01-888;7.99;8;9
1211118-001-01-999;6.99;8;9
1211118-010-01-999;6.69;8;9
1211118-B20-01-888;6.69;8;9
1211119-001-01-999;6.65;8;9
1211121-001-01-999;6.57;8;9
1211122-001-01-999;6.82;8;9
1211122-004-01-999;6.49;8;9
1211130-001-01-999;7.02;8;9
