kod;cena;supplierId;typeid;nazov;balenie;
1211149-001-01-999;12.9;8;9;RAVENOL ATF 9HP Fluid - 1 L (VE 12 Stück);1 L;
1211149-004-01-999;11.5;8;9;RAVENOL ATF 9HP Fluid - 4 L (VE 4 Stück);4 L;
1324101-001-01-999;16.5;8;9;RAVENOL AHC Active Height Control Fluid - 1 L (VE 12 Stück);1 L;
1211146-001-01-999;12.5;8;9;RAVENOL ATF T-ULV Fluid - 1 L (VE 12 Stück);1 L;
1211146-004-01-999;11.5;8;9;RAVENOL ATF T-ULV Fluid - 4 L (VE 4 Stück);4 L;
1211146-010-01-999;10.9;8;9;RAVENOL ATF T-ULV Fluid - 10 L;plast;
1211146-B20-01-888;10.9;8;9;RAVENOL ATF T-ULV  Fluid - 20 L Bag in Box;bag;
1211144-001-01-999;6.6;8;9;RAVENOL Multi ATF HVS Fluid - 1 L (VE 12 Stück);1 L;
1211144-010-01-999;5.9;8;9;RAVENOL Multi ATF HVS Fluid - 10 L;plast;
1211145-001-01-999;6.6;8;9;RAVENOL Multi ATF LVS Fluid - 1 L (VE 12 Stück);1 L;
1211145-010-01-999;5.9;8;9;RAVENOL Multi ATF LVS Fluid - 10 L;plast;
1212106-001-01-999;8.88;8;9;RAVENOL DCT/DSG Getriebe Fluid - 1 L (VE 12 Stück);1 L;
1212106-004-01-999;8.71;8;9;RAVENOL DCT/DSG Getriebe Fluid - 4 L (VE 4 Stück);4 L;
1212106-010-01-999;8.05;8;9;RAVENOL DCT/DSG Getriebe Fluid - 10 L;plast;
1212106-020-01-999;7.99;8;9;RAVENOL DCT/DSG Getriebe Fluid - 20 L;plast;
1212106-B20-01-888;7.94;8;9;RAVENOL DCT/DSG Getriebe Fluid - 20 L Bag in Box;bag;
1211129-001-01-999;28;8;9;RAVENOL DCT GT-R Fluid - 1 L (VE 12 Stück);1 L;
1211135-001-01-999;11;8;9;RAVENOL ATF DCT-F3 - 1 L (VE 12 Stück);1 L;
1211131-001-01-999;9.99;8;9;RAVENOL ATF PDK Fluid - 1 L (VE 12 Stück);1 L;
1212104-001-01-999;6.39;8;9;RAVENOL ATF 5/4 HP Fluid - 1 L (VE 12 Stück);1 L;
1212104-004-01-999;6.07;8;9;RAVENOL ATF 5/4 HP Fluid - 4 L (VE 4 Stück);4 L;
1212104-B20-01-888;5.79;8;9;RAVENOL ATF 5/4 HP Fluid - 20 L Bag in Box;bag;
1211112-001-01-999;7.16;8;9;RAVENOL ATF 6 HP Fluid - 1 L (VE 12 Stück);1 L;
