id;xx;supplierId;externalIdType;a;b;d;
153772;0.25;5;2;MOBIL SHC CHAIN 240 20L;20;0;
153566;0.28;5;2;MOBIL UNIREX N 3 12x0.39KG ;0,39;0;
155137;1.17;5;2;MOBIL HYDRAULIC AW 32;20000;0;
155141;1.17;5;2;MOBIL HYDRAULIC AW 46;20000;0;
155146;1.17;5;2;MOBIL HYDRAULIC AW 68;20000;0;
144969;1.26;5;2;MOBIL HYDRAULIC OIL HLPD 46;20000;0;
155138;1.34;5;2;MOBIL HYDRAULIC AW 32 1000L;1000;0;
155139;1.34;5;2;MOBIL HYDRAULIC AW 32 208L;208;0;
155142;1.34;5;2;MOBIL HYDRAULIC AW 46 1000L;1000;0;
155140;1.34;5;2;MOBIL HYDRAULIC AW 46 208L;208;0;
155148;1.34;5;2;MOBIL HYDRAULIC AW 68 1000L;1000;0;
155147;1.34;5;2;MOBIL HYDRAULIC AW 68 208L;208;0;
144970;1.54;5;2;MOBIL HYDRAULIC HLPD 46** 208L;208;0;
111714;1.56;5;2;NUTO H 32 208L;208;0;
102167;1.58;5;2;NUTO H 46;20000;0;
111715;1.58;5;2;NUTO H 46 208L;208;0;
152158;1.73;5;2;MOBIL DELVAC SUPER 1400E 15W40;20000;0;
111768;1.78;5;2;MOBIL UNIVIS N 46 208L;208;0;
104420;1.85;5;2;MOBIL DELVAC MX 15W-40;20000;0;
111716;1.85;5;2;NUTO H 68 208L;208;0;
144967;1.86;5;2;MOBIL HYDRAULIC HLPD 32** 208L;208;0;
152159;1.89;5;2;MOBIL DELVAC SUPER 1400E 15W40 1000L;1000;0;
110950;1.94;5;2;NUTO H 32 20L;20;0;
111451;1.94;5;2;NUTO H 46 20L;20;0;
121641;2.00;5;2;MOBIL DELVAC MX 15W-40 208L;208;0;
151021;2.01;5;2;MOBIL DELVAC MX ESP 10W-30;20000;0;
150637;2.02;5;2;MOBIL SUPER 2000 X1 DIESEL 10W40 208L;208;0;
121643;2.02;5;2;MOBIL DELVAC MX 15W-40 1000L;1000;0;
141621;2.02;5;2;MOBIL DELVAC SUPER 20W50 208L;208;0;
111767;2.02;5;2;MOBIL UNIVIS N 32 208L;208;0;
141433;2.04;5;2;NUTO H 46 1000L;1000;0;
152160;2.05;5;2;MOBIL DELVAC SUPER 1400E 15W-40 208L;208;0;
152160;2.05;5;2;MOBIL DELVAC SUPER 1400E 15W-40 208L;1000;0;
150906;2.06;5;2;Mobil Brake Fluid DOT 4 (cena za 0,5L);0,5;0;
121900;2.07;5;2;MOBIL DTE 24;20000;0;
121910;2.07;5;2;MOBIL DTE 26;20000;0;
151228;2.09;5;2;MOBIL HYDRAULIC 10W 208L;208;0;
125101;2.10;5;2;MOBIL PEGASUS 705 208L;208;0;
121645;2.11;5;2;MOBIL DELVAC MX 15W-40 60L;60;0;
111461;2.13;5;2;NUTO H 68 20L;20;0;
121842;2.15;5;2;MOBIL DTE 25 208L;208;0;
121545;2.17;5;2;MOBIL DELVAC 1330 208L;208;0;
121565;2.17;5;2;MOBIL DELVAC 1340 208L;208;0;
153902;2.17;5;2;MOBIL DELVAC LIGHT COMMERCIAL VEHICLE E 10W-40 208L;208;0;
104417;2.17;5;2;MOBIL DTE 25;20000;0;
125089;2.17;5;2;MOBIL PEGASUS 610 208L;208;0;
121523;2.18;5;2;MOBIL DELVAC 1320 208L;208;0;
153848;2.18;5;2;MOBIL DELVAC MX ESP 15W-40 208L;208;0;
155071;2.18;5;2;MOBIL DTE 25 ULTRA;20000;0;
127880;2.18;5;2;MOBIL PEGASUS 605 208L;208;0;
144714;2.19;5;2;MOBIL DELVAC MX EXTRA 10W40;20000;0;
151562;2.19;5;2;Mobil VACTRA NO 2;20000;0;
121650;2.21;5;2;MOBIL DELVAC MX 15W-40 20L;20;0;
111444;2.21;5;2;MOBIL UNIVIS N 46 20L;20;0;
151744;2.22;5;2;MOBILTHERM 605 1000L;1000;0;
151745;2.23;5;2;MOBILTHERM 605 208L;208;0;
151746;2.23;5;2;MOBILTHERM 605 20L;20;0;
123763;2.24;5;2;MOBILUBE GX 80W-90;20000;0;
141419;2.24;5;2;MOBIL UNIVIS N 46 1000L;1000;0;
151991;2.26;5;2;MOBIL DELVAC MX ESP 10W-30 1000L;1000;0;
153852;2.26;5;2;MOBIL DELVAC MX ESP 10W-30 208L;208;0;
111769;2.26;5;2;MOBIL UNIVIS N 68 208L;208;0;
104411;2.27;5;2;MOBIL PEGASUS 705;20000;0;
121907;2.29;5;2;MOBIL DTE 24 208L;208;0;
124226;2.30;5;2;MOBIL MOBILFLUID 424 208L;208;0;
150024;2.31;5;2;MOBIL SUPER 1000 X1 15W-40 208L;208;0;
151557;2.31;5;2;MOBIL VACTRA NO 1;20000;0;
155627;2.32;5;2;MOBILFLUID 428 208L;208;0;
121053;2.34;5;2;MOBIL AGRI SUPER 15W-40 208L;208;0;
127616;2.34;5;2;MOBIL DELVAC 1330 20L;20;0;
