kod;cena;a;b;nazov
155137;1.81;5;2;Mobil HYDRAULIC AW 32
155141;1.81;5;2;Mobil HYDRAULIC AW 46
155146;1.81;5;2;Mobil HYDRAULIC AW 68
155138;1.98;5;2;Mobil HYDRAULIC AW 32 1000L
155139;1.98;5;2;Mobil HYDRAULIC AW 32 208L
155142;1.98;5;2;Mobil HYDRAULIC AW 46 1000L
155140;1.98;5;2;Mobil HYDRAULIC AW 46 208L
155148;1.98;5;2;Mobil HYDRAULIC AW 68 1000L
155147;1.98;5;2;Mobil HYDRAULIC AW 68 208L
150797;10.00;5;2;Mobil SHC CIBUS 320 20L
150800;10.01;5;2;Mobil SHC CIBUS 460 20L
125379;10.02;5;2;Mobil RARUS SHC 1026 208L
125309;10.07;5;2;Mobil SHC 524 208L
154728;10.08;5;2;Mobil RARUS SHC 1024 208L
151578;10.09;5;2;Mobil RARUS 827  20L/5USG
151711;10.09;5;2;Mobil RARUS 829  20L/5USG
122849;10.20;5;2;MOBILGEAR SHC XMP 320  208L
152360;10.24;5;2;Mobil SHC CIBUS 100 20L
149045;10.27;5;2;Mobil POLYREX EM 103 16KG
154729;10.31;5;2;Mobil RARUS HC 1024 20L
122852;10.43;5;2;MOBILGEAR SHC XMP 320  20L
151579;10.44;5;2;Mobil RARUS 827 208L/55USG
151710;10.49;5;2;Mobil RARUS 829 208L/55USG
151817;10.50;5;2;Mobil SHC 634 208L
151988;10.54;5;2;Mobil SHC 627 208L
151864;10.62;5;2;Mobil SHC 639 208L
125245;10.74;5;2;Mobil PYROLUBE 830 208L
151818;10.74;5;2;Mobil SHC 634 20L
153552;10.76;5;2;MOBILGREASE XHP 222 12x0,39KG
PTFE500M;10.84;5;2;Mobil PTFE SPRAY 12x0,5L
151865;10.86;5;2;Mobil SHC 639 20L
122279;10.95;5;2;Mobil EAL ARCTIC 68 20L
127782;10.98;5;2;Mobil PYROLUBE 830 20L
152837;11.17;5;2;Mobil SHC CHAIN 240, 208L
146460;11.18;5;2;Mobil EAL ARCTIC 68 5L
146268;11.48;5;2;Mobil EAL ARCTIC 46 20L
122228;11.59;5;2;Mobil EAL ARCTIC 100 208L
153562;11.71;5;2;Mobil UNIREX N 2 12x0,39KG
146457;11.74;5;2;Mobil EAL ARCTIC 22CC 5L
122276;11.76;5;2;Mobil EAL ARCTIC 68 208L
146260;11.82;5;2;Mobil EAL ARCTIC 22CC 20L
152764;11.83;5;2;Mobil SHC RARUS 32 208L
152766;11.83;5;2;Mobil SHC RARUS 46 208L
152768;11.83;5;2;Mobil SHC RARUS 68 208L
124712;11.92;5;2;MOBILTAC 375 NC 18KG/38LB
122230;11.98;5;2;Mobil EAL ARCTIC 100 20L
152765;12.08;5;2;Mobil SHC RARUS 32 20L
152767;12.08;5;2;Mobil SHC RARUS 46 20L
152769;12.08;5;2;Mobil SHC RARUS 68 20L
151650;12.27;5;2;Mobil SHC GEAR 150 208L
154409;12.29;5;2;Mobil POLYREX EM  0,39KG
151653;12.31;5;2;Mobil SHC GEAR 220 208L
154682;12.34;5;2;Mobil CENTAUR XHP 221 12x0,39KG
154599;12.42;5;2;Mobil CENTAUR XHP 461 12x0,39KG
153566;12.42;5;2;Mobil UNIREX N 3 12x0,39KG
153499;12.47;5;2;Mobil DELVAC 1 TRANSMISSION FLUID MBT 75W-90 208L
151664;12.51;5;2;Mobil SHC GEAR 320 20L
120958;12.53;5;2;Mobil AERO HFA 208L/55USG
151651;12.55;5;2;Mobil SHC GEAR 150 20L
151655;12.55;5;2;Mobil SHC GEAR 220 20L
151656;12.55;5;2;Mobil SHC GEAR 460  208L
120962;12.55;5;2;Mobil AERO HFA 5USG
154602;12.56;5;2;Mobil CENTAUR XHP 462 12x0,39KG
120950;12.66;5;2;Mobil AERO HF 208L/55USG
120953;12.67;5;2;Mobil AERO HF  5USG
149822;12.68;5;2;Mobil SHC GREASE 460 WT 174KG
151663;12.69;5;2;Mobil SHC GEAR 320 208L
155191;12.81;5;2;Mobil SHC GREASE 461 WT 174KG
151659;12.94;5;2;Mobil SHC GEAR 680  208L
149823;12.96;5;2;Mobil SHC GREASE 460 WT 16KG
155193;13.07;5;2;Mobil SHC GREASE 461 WT 16KG
151657;13.26;5;2;Mobil SHC GEAR 460 20L
148360;13.77;5;2;MOBILGREASE FM 222 16KG
156029;13.84;5;2;Mobil SHC AVARE HYDRAULIC 46 208L
153559;14.30;5;2;Mobil POLYREX EM 103 12x0,39KG
147800;14.63;5;2;MOBILITH SHC 220 16KG
149049;14.64;5;2;MOBILITH SHC 007 PAIL 16KG/35.2LB
152371;15.21;5;2;Mobil SHC AVARE HYDRAULIC 32 208L
151669;15.21;5;2;Mobil SHC GEAR 46M  208L/390LB
148996;15.50;5;2;MOBILITH SHC 460 16KG
148991;15.65;5;2;MOBILITH SHC 220 174KG
148994;15.76;5;2;MOBILITH SHC 460 174KG
151668;15.80;5;2;Mobil SHC GEAR 22M 208L/390LB
149047;15.96;5;2;MOBILITH SHC 007 163KG
148995;16.02;5;2;MOBILITH SHC 460 50KG
148983;16.12;5;2;MOBILTEMP SHC 100 18KG
124781;16.12;5;2;MOBILTEMP SHC 100 50KG
148990;16.29;5;2;MOBILITH SHC 1500 16KG
148992;16.54;5;2;MOBILITH SHC 220 50KG
124398;16.55;5;2;MOBILITH SHC 100 16KG
155194;16.69;5;2;Mobil SHC GREASE 461 WT 12x0,38KG
124436;16.78;5;2;MOBILJET OIL II 208L/55USG
124434;16.79;5;2;MOBILJET II 24X1L-0.25USG
143996;17.33;5;2;MOBILTEMP SHC 460 SPL 18KG
149001;17.45;5;2;MOBILITH SHC PM 460 50KG
149751;17.48;5;2;Mobil SHC GREASE 102 EAL 16KG
149002;17.49;5;2;MOBILITH SHC PM 460 16KG
154919;17.64;5;2;Mobil PYROTEC HFD 46 B 230KG
124792;18.22;5;2;MOBILTEMP SHC 32  PAIL 16KG/35LB
148999;18.29;5;2;MOBILITH SHC PM 220 16KG
124431;18.30;5;2;MOBILJET 254, 208L/55USG
124429;18.31;5;2;MOBILJET 254 24X1L-0.25USG
151075;18.43;5;2;Mobil SHC POLYREX 222 16KG/35.2LB
149612;19.28;5;2;MOBILITH SHC 220 12x0,38KG
149611;19.37;5;2;MOBILITH SHC 100 12x0,38KG
149613;19.44;5;2;MOBILITH SHC 460 120,38KG
149998;19.91;5;2;Mobil SHC POLYREX 462 16KG/35.2LB
150906;2.32;5;2;Mobil BRAKE FLUID DOT 4  12x0,5L
145190;2.53;5;2;Mobil ANTIFREEZE Extra 1000L
111714;2.65;5;2;NUTO H 32 208L
102167;2.67;5;2;NUTO H 46
111715;2.67;5;2;NUTO H 46 208L
144970;2.70;5;2;Mobil HYDRAULIC HLPD 46** 208L
111768;2.78;5;2;Mobil UNIVIS N 46 208L
144973;2.83;5;2;Mobil HYDRAULIC OIL HLPD 68 208L
111716;2.94;5;2;NUTO H 68 208L
153451;20.02;5;2;MOBILGREASE FM 222 10x0,39KG
149617;20.10;5;2;MOBILTEMP SHC 100 120,38KG
150923;20.28;5;2;Mobil SHC POLYREX 005 16KG
154504;21.63;5;2;Mobil POLYREX EM 12x0,39KG
101821;24.96;5;2;Mobil HYJET IV-A PLUS 208L/55USG
101823;24.99;5;2;Mobil HYJET IV-A PLUS 24X1L-0.25USG
105479;24.99;5;2;Mobil HYJET IV-A PLUS 5USG
100321;25.00;5;2;Mobil HYJET IV-A PLUS 6x1USG
150584;26.79;5;2;Mobil HYJET V 24X0.25USG
149087;26.80;5;2;Mobil HYJET V 5USG
150583;26.80;5;2;Mobil HYJET V 6x1USG
144279;3.01;5;2;Mobil ANTIFREEZE 208L
104420;3.02;5;2;Mobil DELVAC MX 15W-40
144967;3.02;5;2;Mobil HYDRAULIC HLPD 32** 208L
146320;3.03;5;2;Mobil DELVAC SUPER 1400 15W-40
110950;3.03;5;2;NUTO H 32 20L
111451;3.03;5;2;NUTO H 46 20L
111767;3.08;5;2;Mobil UNIVIS N 32 208L
141433;3.13;5;2;NUTO H 46 1000L
125101;3.15;5;2;Mobil PEGASUS 705 208L
121641;3.17;5;2;Mobil DELVAC MX 15W-40 208L
121643;3.19;5;2;Mobil DELVAC MX 15W-40 1000L
146321;3.19;5;2;Mobil DELVAC SUPER 1400 15W-40 1000L
146322;3.19;5;2;Mobil DELVAC SUPER 1400 15W-40 208L
141621;3.19;5;2;Mobil DELVAC SUPER 20W-50 208L
111461;3.22;5;2;NUTO H 68 20L
151228;3.26;5;2;Mobil HYDRAULIC 10W 208L
111444;3.27;5;2;Mobil UNIVIS N 46 20L
121645;3.28;5;2;Mobil DELVAC MX 15W-40 60L
151154;3.29;5;2;Mobil ANTIFREEZE ADVANCED 5L
122530;3.29;5;2;Mobil GARGOYLE ARCTIC C HEAVY 208L
125089;3.29;5;2;Mobil PEGASUS 610 208L
150572;3.30;5;2;Mobil Super 2000 X1 10W-40 60L
151157;3.30;5;2;Mobil ANTIFREEZE EXTRA 1L
124226;3.30;5;2;MOBILFLUID 424 208L
141419;3.30;5;2;Mobil UNIVIS N 46 1000L
122520;3.31;5;2;Mobil GARGOYLE ARCTIC 300 208L
111769;3.32;5;2;Mobil UNIVIS N 68 208L
121545;3.34;5;2;Mobil DELVAC 1330 208L
121565;3.34;5;2;Mobil DELVAC 1340 208L
151562;3.34;5;2;Mobil VACTRA NO 2
121523;3.35;5;2;Mobil DELVAC 1320 208L
153848;3.35;5;2;Mobil DELVAC MX ESP 15W-40 208L
144714;3.36;5;2;Mobil DELVAC MX EXTRA 10W-40
121650;3.38;5;2;Mobil DELVAC MX 15W-40 20L
155071;3.38;5;2;Mobil DTE 25 ULTRA
104411;3.39;5;2;Mobil PEGASUS 705
125090;3.40;5;2;Mobil PEGASUS 610 1000L
111430;3.40;5;2;Mobil UNIVIS N 32 20L
146323;3.41;5;2;Mobil DELVAC SUPER 1400 15W-40 60L
153852;3.43;5;2;Mobil DELVAC MX ESP 10W-30 208L
150024;3.46;5;2;Mobil Super 1000 X1 15W-40 208L
151557;3.46;5;2;Mobil VACTRA NO 1
153854;3.47;5;2;Mobil DELVAC MX ESP 10W-30 1000L
153854;3.47;5;2;Mobil DELVAC MX ESP 10W-30 1000L
125110;3.47;5;2;Mobil PEGASUS 710 208L
104413;3.49;5;2;Mobil PEGASUS 710
151156;3.50;5;2;Mobil ANTIFREEZE 5L
104432;3.50;5;2;Mobil PEGASUS 610
151744;3.50;5;2;MOBILTHERM 605 1000L
121053;3.51;5;2;Mobil AGRI SUPER 15W-40 208L
127616;3.51;5;2;Mobil DELVAC 1330 20L
151745;3.51;5;2;MOBILTHERM 605 208L
151746;3.51;5;2;MOBILTHERM 605 20L
150015;3.52;5;2;Mobil Super 2000 X1 10W-40 208L
144716;3.52;5;2;Mobil DELVAC MX EXTRA 10W-40 208L
146324;3.52;5;2;Mobil DELVAC SUPER 1400 15W-40 20L
151560;3.53;5;2;Mobil VACTRA NO 2 208L
155627;3.54;5;2;MOBILFLUID 428 208L
153709;3.54;5;2;Mobil GARGOYLE ARCTIC 68 NH, 208L
125109;3.54;5;2;Mobil PEGASUS 705 20L
124227;3.55;5;2;MOBILFLUID 424 1000L
155231;3.55;5;2;Mobil DTE 24 ULTRA 208L
155171;3.55;5;2;Mobil DTE 25 ULTRA 1000L
155202;3.55;5;2;Mobil DTE 25 ULTRA 208L
155223;3.55;5;2;Mobil DTE 26 ULTRA 208L
