Č. tovaru;Cena za L/KG bez DPH;supplierId;eidtype
SH-550053815;3.55;14;8
SH-550053785;4.2;14;8
SH-550053587;3.8;14;8
SH-550053583;4.4;14;8
SH-550043868;50.85;14;8
SH-550041018;4.18;14;8
SH-550051823;7.2;14;8
SH-550058762;2.32;14;8
SH-550050021;3.92;14;8
SH-550026203;14.25;14;8
CY-877856;0.72;14;8
CY-877320;0.37;14;8
CY-AM77658;0.62;14;8
CY-879249;0.47;14;8
CY-879256;0.35;14;8
CY-879218;0.47;14;8
CY-879225;0.35;14;8
SH-550044223-2;4;14;8
SH-550054599;3.18;14;8
SH-550059404;12.65;14;8
SH-550053536;10.28;14;8
SH-550053534;5.83;14;8
SH-550053029;8.73;14;8
SH-550050006;4.3;14;8
SH-550050009;11.55;14;8
SH-550025260;10.9;14;8
SH-550053532;5.75;14;8
SH-550028099;7.78;14;8
SH-550028244;15;14;8
CA-877108;2.14;14;8
CA-877092;1.65;14;8
CA-877078;1.66;14;8
CA-877085;1.74;14;8
CA-877139;1.69;14;8
CA-877115;1.73;14;8
CA-877122;1.75;14;8
SH-550052344;2.35;14;8
SH-550046285;2.35;14;8
SH-550053775;2.4;14;8
SH-550053777;2.5;14;8
SH-550052688;2.27;14;8
SH-550056435;4.83;14;8
SH-550052508;2.55;14;8
SH-550053646;11.03;14;8
SH-550053787;2.62;14;8
SH-550053736;2.75;14;8
SH-550053737;2.65;14;8
SH-550052432;2.55;14;8
SH-550056434;10.65;14;8
SH-550053752;2.58;14;8
SH-550053739;2.75;14;8
SH-550053770;2.87;14;8
SH-550048288;15.46;14;8
SH-550052836;2.75;14;8
SH-550052792;2.69;14;8
SH-550052794;3.29;14;8
SH-550048376;13.93;14;8
SH-550054287;10.45;14;8
SH-550054289;11.19;14;8
SH-550052837;3.05;14;8
SH-550056725;4.7;14;8
SH-550052462;4.1;14;8
SH-550052668;4.77;14;8
SH-550052677;3.72;14;8
SH-550052360;2.9;14;8
SH-550053647;17.8;14;8
SH-550052673;3.15;14;8
SH-550052679;3.67;14;8
SH-550045937;4.3;14;8
SH-550048373;17.23;14;8
SH-550048375;17.36;14;8
SH-550050441;4.17;14;8
SH-550049781;4.59;14;8
SH-550042278;4;14;8
SH-550053640;14.12;14;8
SH-550040247;13.4;14;8
SH-550048289;13.77;14;8
SH-550048188;13.4;14;8
SH-550048341;14.73;14;8
SH-550048343;14.02;14;8
SH-550056428;14.7;14;8
SH-550046301;13.96;14;8
SH-550049078;19.12;14;8
SH-550043466;4.4;14;8
SH-550054034;5.74;14;8
SH-550040092;12.35;14;8
SH-550040213;3.4;14;8
SH-550048370;13.54;14;8
SH-550053645;15.4;14;8
SH-550056429;13.76;14;8
SH-550053648;14.15;14;8
SH-550051434;5.13;14;8
SH-550051433;14.4;14;8
SH-550056431;16.46;14;8
SH-550045106;4.3;14;8
SH-550055735;6.3;14;8
SH-550054608;11.23;14;8
SH-550047905;9.22;14;8
SH-550053643;18.6;14;8
SH-550048041;5.65;14;8
SH-550048476;4.75;14;8
SH-550046672;6.2;14;8
SH-550052418;13.58;14;8
SH-550052651;4.4;14;8
SH-550047973;14.3;14;8
SH-550052887;5.04;14;8
SH-550052888;4.98;14;8
SH-550052878;3.12;14;8
SH-550052879;3.2;14;8
SH-550049072;7.85;14;8
SH-550055978;3.48;14;8
SH-550055974;2.62;14;8
SH-550055980;3.48;14;8
SH-550035881;2.08;14;8
SH-100007760;3.7;14;8
SH-550060205;5.87;14;8
SH-550060211;3.75;14;8
SH-550060213;8.98;14;8
SH-550041612;2;14;8
SH-550041640;2.26;14;8
SH-100009153;3.27;14;8
SH-550041579;1.94;14;8
SH-550041661;2.32;14;8
SH-550041662;2.15;14;8
SH-550041663;2.65;14;8
SH-550027175;5.3;14;8
SH-550046603;6.32;14;8
