CISLO_MAT;cena platná od 1.5.2021;a;b
SH-550053815;4.35;14;8
SH-550053817;4.20;14;8
SH-550044443;3.94;14;8
SH-550044445;4.80;14;8
SH-550053785;4.69;14;8
SH-550044442;4.40;14;8
SH-550053587;4.59;14;8
SH-550053583;5.21;14;8
SH-550046596;2.99;14;8
SH-550039926;2.98;14;8
SH-550052344;3.03;14;8
SH-550046277;3.50;14;8
SH-550046285;3.03;14;8
SH-550039983;2.59;14;8
SH-550053775;3.08;14;8
SH-550053777;3.19;14;8
SH-550052688;2.95;14;8
SH-550053774;3.00;14;8
SH-550052508;3.24;14;8
SH-550053787;3.31;14;8
SH-550053736;3.44;14;8
SH-550053737;3.34;14;8
SH-550052432;3.24;14;8
SH-550053752;3.27;14;8
SH-550053739;3.44;14;8
SH-550053770;3.56;14;8
SH-550046589;4.60;14;8
SH-550040412;3.67;14;8
SH-550040406;3.86;14;8
SH-550046311;4.49;14;8
SH-550046292;4.46;14;8
SH-550052836;3.54;14;8
SH-550052792;3.55;14;8
SH-550052794;4.09;14;8
SH-550052837;3.99;14;8
SH-550048141;3.55;14;8
SH-550048056;3.55;14;8
SH-550048096;3.92;14;8
SH-550048140;4.79;14;8
SH-550048100;4.56;14;8
SH-550052462;4.90;14;8
SH-550065926;5.59;14;8
SH-550046267;5.01;14;8
SH-550040161;4.60;14;8
SH-550046268;4.41;14;8
SH-550052677;4.58;14;8
SH-550052360;3.69;14;8
SH-550052673;4.00;14;8
SH-550052679;4.51;14;8
SH-550040501;4.39;14;8
SH-550046659;5.32;14;8
SH-550047964;5.17;14;8
SH-550046306;5.01;14;8
SH-550042331;4.61;14;8
SH-550045937;5.11;14;8
SH-550042232;4.67;14;8
SH-550046305;5.44;14;8
SH-550042824;4.60;14;8
SH-550042823;4.67;14;8
SH-550050441;4.98;14;8
SH-550049781;5.44;14;8
SH-550055209;4.89;14;8
SH-550042278;3.78;14;8
SH-550055210;5.55;14;8
SH-550040537;3.91;14;8
SH-550040265;3.36;14;8
SH-550046288;4.50;14;8
SH-550040671;6.01;14;8
SH-550046300;4.65;14;8
SH-550040209;3.79;14;8
SH-550040685;4.20;14;8
SH-550040211;3.75;14;8
SH-550042598;4.20;14;8
SH-550046302;5.47;14;8
