CISLO_MAT;cena platná od 1.5.2021;a;b;NAZEV_MAT
SH-550053815;4.55;14;8;Advance 4T AX7 10W-40_12*1L
SH-550053817;4.40;14;8;Advance 4T AX7 15W-50 (SM/MA2)_12*1L
SH-550044443;4.14;14;8;Advance 4T AX7 15W-50_1*20L
SH-550053785;4.99;14;8;Advance 4T Ultra 10W-40_12*1L
SH-550044442;4.70;14;8;Advance 4T Ultra 15W-50 (SM/MA2)_1*20L
SH-550053587;4.89;14;8;Advance 4T Ultra 15W-50 12*1L
SH-550053583;5.51;14;8;Advance Ultra 2T 12*1L
SH-550046596;3.19;14;8;Helix HX3 15W-40_12x1L
SH-550039926;3.18;14;8;Helix HX3 15W-40_4*4L
SH-550052344;3.23;14;8;Helix HX5 15W-40_1*209L
SH-550046277;3.70;14;8;Helix HX5 15W-40_12*1L
SH-550046285;3.23;14;8;Helix HX5 15W-40_4*4L
SH-550053775;3.28;14;8;Helix HX6 10W-40 12*1L
SH-550053777;3.39;14;8;Helix HX6 10W-40 3*5L
SH-550052688;3.15;14;8;Helix HX6 10W-40_1*209L
SH-550053774;3.20;14;8;Helix HX6 10W-40_1*55L
SH-550052508;3.44;14;8;Helix HX7 10W-40_1*209L
SH-550053787;3.51;14;8;Helix HX7 10W-40_1*55L
SH-550053736;3.64;14;8;Helix HX7 10W-40_12*1L
SH-550053737;3.54;14;8;Helix HX7 10W-40_4*4L
SH-550052432;3.44;14;8;Helix HX7 5W-40_1*209L
SH-550053752;3.47;14;8;Helix HX7 5W-40_1*55L
SH-550053739;3.64;14;8;Helix HX7 5W-40_12*1L
SH-550053770;3.76;14;8;Helix HX7 5W-40_4*4L
SH-550046589;4.80;14;8;Helix HX7 Professional AF 5W-30 12*1L
SH-550040412;3.87;14;8;Helix HX7 Professional AV 5W-30_1*209L
SH-550040406;4.06;14;8;Helix HX7 Professional AV 5W-30_1*55L
SH-550046311;4.69;14;8;Helix HX7 Professional AV 5W-30_12*1L
SH-550046292;4.66;14;8;Helix HX7 Professional AV 5W-30_3*5L
SH-550052836;3.84;14;8;Helix HX8 5W-40_1*209L
SH-550052792;3.85;14;8;Helix HX8 5W-40_1*55L
SH-550052794;4.39;14;8;Helix HX8 5W-40_12*1L
SH-550052837;4.29;14;8;Helix HX8 5W-40_4*4L
SH-550048141;3.85;14;8;Helix HX8 ECT 5W-30 1*55L
SH-550048056;3.85;14;8;Helix HX8 ECT 5W-30_1*209L
SH-550048096;4.22;14;8;Helix HX8 ECT 5W-30_1*20L
SH-550048140;5.09;14;8;Helix HX8 ECT 5W-30_12*1L
SH-550048100;4.86;14;8;Helix HX8 ECT 5W-30_3*5L
SH-550046688;3.86;14;8;Helix HX8 ECT 5W-40_1*55L
SH-550046689;4.02;14;8;Helix HX8 ECT 5W-40_3*5L
SH-550052462;5.20;14;8;Helix Ultra 0W-40_1*209L
SH-550065926;5.89;14;8;Helix Ultra 0W-40_12*1L
SH-550046267;5.31;14;8;Helix Ultra 5W-30 12*1L
SH-550040161;4.90;14;8;Helix Ultra 5W-30_1*209L
SH-550046268;4.71;14;8;Helix Ultra 5W-30_4*4L
SH-550052677;4.88;14;8;Helix Ultra 5W-40 12*1L
SH-550052360;3.99;14;8;Helix Ultra 5W-40_1*209L
