kod;cena za l kartonovy;supplierId;typeid;popis;balenie;kategoria
197551;1.71;4;6;SERIOLA 1510;1000L TOT CZ;
208178;1.72;4;6;AZOLLA ECO2 46;1000L TOT W;
208176;1.72;4;6;AZOLLA ECO2 46;208L TOT C;
208180;1.81;4;6;EQUIVIS ECO2 46;208L TOT C;
197097;1.84;4;6;AZOLLA ZS 32;1000L TOT CZ;
197135;1.84;4;6;AZOLLA ZS 46;1000L TOT CZ;
195193;1.84;4;6;AZOLLA ZS 46;1000L TOT PL;
112701;1.84;4;6;AZOLLA ZS 46;1000L TOT W;
197098;1.84;4;6;AZOLLA ZS 68;1000L TOT CZ;
195850;1.84;4;6;AZOLLA ZS 68;1000L TOT PL;
112702;1.84;4;6;AZOLLA ZS 68;1000L TOT W;
133550;1.84;4;6;SERIOLA 1510;1000L TOT W;
208181;1.86;4;6;EQUIVIS ECO2 46;1000L TOT W;
120850;1.86;4;6;LYRAN C 80 B;208L TOT C;
110474;1.87;4;6;AZOLLA ZS 32;208L TOT C;
166506;1.87;4;6;AZOLLA ZS 32;208L TOT E RO;
195847;1.87;4;6;AZOLLA ZS 32;208L TOT PL;
110477;1.87;4;6;AZOLLA ZS 46;208L TOT C;
195194;1.87;4;6;AZOLLA ZS 46;208L TOT PL;
166464;1.87;4;6;AZOLLA ZS 46;208L TOT RO;
110480;1.87;4;6;AZOLLA ZS 68;208L TOT C;
195849;1.87;4;6;AZOLLA ZS 68;208L TOT PL;
166516;1.87;4;6;AZOLLA ZS 68;208L TOT RO;
198108;1.87;4;6;TORILIS HC 1850;1000L TOT W;
150260;1.88;4;6;TORILIS 2500;1000L TOT W;
112396;1.88;4;6;TORILIS 2500;208L TOT C;
198109;1.89;4;6;TORILIS HC 1850;208L TOT C;
199092;1.92;4;6;VALONA MS 1032      ;1000L TOT CZ;
197122;1.94;4;6;EQUIVIS ZS 46;1000L TOT CZ;
195196;1.94;4;6;EQUIVIS ZS 46;1000L TOT PL;
112704;1.94;4;6;EQUIVIS ZS 46;1000L TOT W;
110669;1.94;4;6;PRESLIA 46;208L TOT C;
110817;1.94;4;6;SERIOLA 1510;208L TOT C;
209500;1.94;4;6;SERIOLA 32;208L TOT C;
211254;1.95;4;6;SERIOLA 100;1000L TOT W;
209458;1.95;4;6;SERIOLA 100;208L TOT C;
112398;1.95;4;6;TORILIS 6200;208L TOT C;
110573;1.96;4;6;EQUIVIS ZS 46;208L TOT C;
166512;1.96;4;6;EQUIVIS ZS 46;208L TOT E RO;
195197;1.96;4;6;EQUIVIS ZS 46;208L TOT PL;
209502;1.96;4;6;SERIOLA 32;1000L TOT W;
110671;1.97;4;6;PRESLIA 68;208L TOT C;
197855;1.98;4;6;EQUIVIS ZS 32;1000L TOT CZ;
195886;1.98;4;6;EQUIVIS ZS 32;1000L TOT PL;
112703;1.98;4;6;EQUIVIS ZS 32;1000L TOT W;
195887;1.98;4;6;EQUIVIS ZS 32;208L TOT PL;
201673;1.98;4;6;PRESLIA 32;1000L TOT W1;
167978;1.98;4;6;TORILIS 6200;1000L TOT W;
110468;1.99;4;6;AZOLLA ZS 100;208L TOT C;
110570;1.99;4;6;EQUIVIS ZS 32;208L TOT C;
112731;1.99;4;6;FINAVESTAN A 80 B;1000L TO T W;
183448;10.02;4;6;BIOMULTIS EP 2;24T04K TOT C;
172826;10.18;4;6;MULTIS COMPLEX SHD 100;24T037K TOT C;
187009;10.39;4;6;CORTIS XHT 68;20L TOT C;
161241;11.18;4;6;COPAL MS 2;24T04K TOT C;
182690;11.20;4;6;MULTIS COMPLEX SHD 220;17K TOT C;
130530;11.24;4;6;HYDRANSAFE FRS 32;230K TOT C;
197566;11.31;4;6;MULTIS COMPLEX SHD 460;17K TOT C;
205814;11.35;4;6;GRAFOLOG R FLUID;180K TLG C;
205830;11.55;4;6;LX 1500 GM;180K TLG C;
201377;11.55;4;6;PRESLIA SE HTS;208L TOT C;
205815;11.58;4;6;GRAFOLOG R FLUID;50K TLG C;
199423;11.59;4;6;CERAN XM 220 MOLY (LS);24T04K TOT C;
160822;11.71;4;6;MARSON WR2;24T04K TOT C1;
199422;11.75;4;6;CERAN XM 220 MOLY;24T042K TOT C;
205832;11.78;4;6;LX 1500 GM;50K TLG C;
170669;11.96;4;6;MULTIS COMPLEX SHD 100;17K TOT C;
112632;12.03;4;6;PLANETELF PAG SP 20;20L TOT C;
134020;12.24;4;6;NEVASTANE SY 220;206K TOT C;
150490;12.26;4;6;NEVASTANE SFG 1;20T04K TOT C US;
134021;12.28;4;6;NEVASTANE SY 320;210K TOT C;
134022;12.34;4;6;NEVASTANE SY 460;210K TOT C;
202045;13.45;4;6;HYDRANSAFE FR EHC;230K TOT C;
211358;13.46;4;6;HYDRANSAFE FR EHC;1000K TOT W;
164120;13.46;4;6;NEVASTANE GREASE AEROSOL;12S03L TOT Z;
188583;13.72;4;6;CERAN XS 80;24T04K TOT C;
188591;13.99;4;6;CERAN XS 320;24T04K T OT C;
150470;14.04;4;6;COPAL SPRAY-AEROSOL;12S04L TOT C;
213208;14.61;4;6;PLANETELF PAG K 40;25B025L TOT C;
190497;14.74;4;6;NEVASTANE XS 80;2X12T04 TOT C;
190493;14.78;4;6;NEVASTANE XS 320;2X12T04 TOT C;
188292;15.52;4;6;CERAN XS 40 MOLY;24T04K TOT C;
196617;15.88;4;6;PLANETELF PAG 244 F;25B025L TOT C;
140089;16.01;4;6;PLANETELF PAG 488;25B025L TOT C;
189336;16.44;4;6;SERADE STAB SYNTHETIC;5L TOT C;
160829;173.94;4;6;STATERMIC XHT;4T08K TOT C1;
157352;174.46;4;6;STATERMIC NR;1T08K TOT C;
111651;18.41;4;6;MERKAN N 4128 AER;12S04L TOT C;
140223;18.58;4;6;PLANETELF PAG SP 20;25B025L TOT C;
209113;185.39;4;6;STATERMIC X400;4C1K TOT Z;
209112;185.39;4;6;STATERMIC X400;4T08K TOT Z;
110473;2.00;4;6;AZOLLA ZS 22;208L TOT C;
199160;2.00;4;6;DRASTA C 1000;208L TOT RO;
201674;2.00;4;6;PRESLIA 46;1000L TOT W1;
110471;2.01;4;6;AZOLLA ZS 150;208L TOT C;
195870;2.01;4;6;EQUIVIS ZS 68;1000L  T OT PL;
112705;2.01;4;6;EQUIVIS ZS 68;1000L TOT W;
197121;2.02;4;6;AZOLLA AF 46;1000 L TOT CZ;
170439;2.02;4;6;FINAVESTAN A 100 B;1000L TO T W;
202875;2.03;4;6;AZOLLA ZS 100;1000L TOT W;
110576;2.03;4;6;EQUIVIS ZS 68;208L TOT C;
195890;2.03;4;6;EQUIVIS ZS 68;208L TOT PL;
201440;2.03;4;6;FINAVESTAN A 100 B;1000L TOT CZ;
112732;2.04;4;6;FINAVESTAN A 180 B;1000L TO T W;
112733;2.04;4;6;FINAVESTAN A 360 B;1000L TO T W;
197125;2.05;4;6;DROSERA MS 68;1000L TOT CZ;
112271;2.07;4;6;CIRKAN C 32;208L TOT C;
199794;2.08;4;6;VALONA MS 3040 HC;1000L TOT W;
203857;2.09;4;6;DRASTA C 7025;1000L TOT W;
121371;2.09;4;6;VALONA MS 1032;208L TO T C;
203638;2.10;4;6;FINAVESTAN A 180 B;208L TOT C1;
173477;2.10;4;6;VALONA MS 1032;1000L TOT W;
147661;2.11;4;6;AZOLLA AF 46;1000L TOT W;
110479;2.11;4;6;AZOLLA ZS 46;60L TOT C;
162117;2.12;4;6;DACNIS 32;208L TO T C;
127035;2.13;4;6;AZOLLA ZS 150;1000L TOT W;
203637;2.13;4;6;FINAVESTAN A 210 B;208L TOT C1;
110668;2.13;4;6;PRESLIA 100;208L TOT C;
112417;2.14;4;6;AZOLLA AF 32;208L TOT C;
110482;2.14;4;6;AZOLLA ZS 68;60L TOT C;
162119;2.14;4;6;DACNIS 46;208L TOT C;
203858;2.14;4;6;DRASTA C 7025;208L TOT C;
112333;2.15;4;6;EQUIVIS ZS 22;208L TOT C;
110523;2.16;4;6;CORTIS MS 220;208L TOT C;
162121;2.16;4;6;DACNIS 68;208L TOT C;
110574;2.16;4;6;EQUIVIS ZS 46;20L TOT C;
190667;2.16;4;6;EQUIVIS ZS 46;20LP TOT E RO;
166510;2.16;4;6;EQUIVIS ZS 46;20LP TOT RO;
110486;2.17;4;6;CARTER EP 150;208L TOT C;
