kod;cena;a;b
889 636;4.21;2;1
889 635;4.03;2;1
893 562;3.73;2;1
893 563;3.39;2;1
797 172;4.28;2;1
797 004;3.94;2;1
614 447;4.21;2;1
VE13938;4;2;1
881 885;3.43;2;1
881 883;3.23;2;1
VE13976;3.23;2;1
VE13978;2.8;2;1
VE13906;3.73;2;1
VE13918;3.35;2;1
895 537;3.21;2;1
895 536;3.01;2;1
889 723;3.93;2;1
889 722;3.65;2;1
886 581;3.23;2;1
886 586;2.99;2;1
886 248;3.23;2;1
886 247;2.96;2;1
807 011;3.38;2;1
806 950;3.1;2;1
VE13766;2.97;2;1
VE13777;2.74;2;1
VE13778;2.55;2;1
VE13706;2.95;2;1
VE13717;2.55;2;1
VE13718;2.56;2;1
890 707;2.71;2;1
890 730;2.43;2;1
882 135;3.31;2;1
886 169;2.95;2;1
870 235;3.14;2;1
870 234;2.81;2;1
893 637;3.88;2;1
893 638;3.51;2;1
893 656;3.79;2;1
893 657;3.37;2;1
874 346;3.39;2;1
874 345;3.23;2;1
871 983;3.54;2;1
891 717;3.53;2;1
891 718;3.3;2;1
885 731;3.47;2;1
885 651;3.22;2;1
881 223;2.8;2;1
881 222;2.71;2;1
890 745;3.15;2;1
890 744;2.87;2;1
VE17106;3.06;2;1
VE17118;2.8;2;1
889 796;3.31;2;1
889 794;2.75;2;1
866 913;3.89;2;1
866 912;3.32;2;1
866 911;3.21;2;1
868 208;3.95;2;1
866 915;3.8;2;1
866 916;3.56;2;1
866 918;3.33;2;1
868 211;7.54;2;1
866 932;7.24;2;1
866 933;7.32;2;1
866 934;7.22;2;1
882 022;1.8;2;1
882 028;6.63;2;1
866 948;5.25;2;1
868 210;6.63;2;1
866 929;5.53;2;1
866 930;5.39;2;1
866 927;8.62;2;1
868 215;4.2;2;1
868 216;3.77;2;1
866 951;3.6;2;1
879 813;6.94;2;1
879 812;1.74;2;1
866 941;3.51;2;1
866 942;2.99;2;1
868 209;5.31;2;1
866 925;4.46;2;1
866 926;4.02;2;1
866 923;4.75;2;1
866 924;4.54;2;1
868 214;3.85;2;1
866 944;3.17;2;1
866 946;2.9;2;1
868 217;3.64;2;1
866 956;3.09;2;1
866 957;2.8;2;1
890 957;5.27;2;1
891 041;10.44;2;1
891 168;5.07;2;1
891 172;4.79;2;1
891 169;5.19;2;1
891 173;4.92;2;1
895 414;3.09;2;1
892 653;2.89;2;1
890 530;4.83;2;1
890 542;5.19;2;1
890 545;6.14;2;1
896 057;5.79;2;1
890 547;4.75;2;1
891 238;5.42;2;1
891 174;5.12;2;1
891 239;3.97;2;1
891 175;3.84;2;1
895 412;2.78;2;1
892 652;2.68;2;1
890 527;4.01;2;1
890 541;4.79;2;1
896 093;4.59;2;1
890 543;4.63;2;1
896 054;4.84;2;1
890 546;3.97;2;1
891 241;4.64;2;1
891 177;4.3;2;1
891 240;4.93;2;1
891 176;4.72;2;1
895 400;3.03;2;1
889 586;5.16;2;1
896 094;5.16;2;1
889 580;5.04;2;1
896 055;4.81;2;1
889 579;4.61;2;1
895 405;2.76;2;1
892 651;2.76;2;1
889 584;4.63;2;1
889 573;4.79;2;1
896 062;4.12;2;1
889 572;4.02;2;1
891 243;6.86;2;1
891 179;6.56;2;1
891 242;1.86;2;1
891 180;6.56;2;1
891 248;3.63;2;1
891 250;7.11;2;1
891 245;6.86;2;1
891 246;6.56;2;1
895 404;2.21;2;1
889 581;3.23;2;1
889 583;3.65;2;1
889 550;3.59;2;1
896 052;3.31;2;1
889 549;3.21;2;1
896 095;4.47;2;1
890 544;4.37;2;1
896 056;4.25;2;1
890 548;4.15;2;1
882 151;4.58;2;1
885 971;4.57;2;1
882 152;4.42;2;1
882 102;3.42;2;1
885 974;3.07;2;1
882 103;2.92;2;1
VE16206;2.37;2;1
VE16218;2.19;2;1
VE16226;2.51;2;1
VE16238;2.37;2;1
VE16246;2.56;2;1
VE16258;2.37;2;1
VE16426;2.48;2;1
VE16438;2.13;2;1
VE16446;2.31;2;1
VE16458;2.27;2;1
VE16466;2.31;2;1
VE16478;2.17;2;1
885 976;3.16;2;1
VE16498;3.01;2;1
821 256;2.81;2;1
889 759;3.08;2;1
889 735;2.83;2;1
889 758;2.82;2;1
889 757;3.08;2;1
889 736;2.83;2;1
889 756;2.82;2;1
889 739;2.67;2;1
889 738;2.32;2;1
889 710;2.68;2;1
889 709;2.23;2;1
891 539;1.92;2;1
889 793;2.58;2;1
889 792;2.33;2;1
889 791;2.32;2;1
889 755;2.77;2;1
889 754;2.52;2;1
889 753;2.51;2;1
890 791;2.77;2;1
890 790;2.52;2;1
890 792;3.08;2;1
890 793;2.83;2;1
890 795;3.08;2;1
890 794;2.83;2;1
890 797;2.88;2;1
890 796;2.63;2;1
890 799;2.53;2;1
890 798;2.28;2;1
890 801;2.48;2;1
890 800;2.23;2;1
889 726;2.43;2;1
889 727;2.18;2;1
891 536;2.07;2;1
889 729;2.53;2;1
889 728;2.18;2;1
891 537;2.07;2;1
889 732;2.59;2;1
889 731;2.34;2;1
889 730;2.23;2;1
889 816;2.88;2;1
889 733;2.63;2;1
889 815;2.62;2;1
889 819;2.53;2;1
889 818;2.28;2;1
889 817;2.27;2;1
889 822;2.58;2;1
889 821;2.33;2;1
889 820;2.32;2;1
890 787;3.03;2;1
890 786;2.78;2;1
890 789;3.03;2;1
890 788;2.78;2;1
889 814;3.03;2;1
889 734;2.78;2;1
889 813;2.77;2;1
889 812;3.03;2;1
889 811;2.78;2;1
889 760;2.77;2;1
808 515;3.16;2;1
808 513;2.51;2;1
808 516;2.36;2;1
867 534;2.71;2;1
867 532;2.44;2;1
892 095;4.2;2;1
892 096;3.85;2;1
892 097;3.55;2;1
892 094;3.35;2;1
891 920;4.24;2;1
892 091;3.89;2;1
892 092;3.59;2;1
891 919;3.39;2;1
