kod;cena;a;b
892 409;5.96;2;1
892 410;5.71;2;1
892 442;5.51;2;1
896 947;5.41;2;1
897 022;5.26;2;1
892 443;5.91;2;1
892 444;5.66;2;1
892 445;5.46;2;1
896 948;5.36;2;1
897 023;5.21;2;1
892 447;5.86;2;1
892 448;5.61;2;1
892 449;5.41;2;1
896 949;5.31;2;1
897 024;5.16;2;1
882 800;6.31;2;1
882 861;5.87;2;1
882 862;5.66;2;1
882 863;5.57;2;1
882 243;5.18;2;1
882 242;4.98;2;1
882 240;4.38;2;1
872 372;4.70;2;1
872 373;4.54;2;1
872 375;4.50;2;1
872 376;4.25;2;1
872 798;3.98;2;1
872 796;3.90;2;1
872 591;5.12;2;1
872 592;4.90;2;1
872 593;4.61;2;1
872 594;4.37;2;1
872 520;4.92;2;1
872 521;4.70;2;1
872 550;4.41;2;1
872 792;4.26;2;1
872 809;4.17;2;1
872 518;5.64;2;1
872 519;5.35;2;1
872 517;4.95;2;1
896 673;4.51;2;1
872 807;4.36;2;1
872 596;4.91;2;1
872 597;4.60;2;1
872 601;4.19;2;1
872 600;4.10;2;1
872 598;4.07;2;1
872 385;4.72;2;1
872 386;4.41;2;1
872 387;3.99;2;1
872 806;3.96;2;1
872 802;3.90;2;1
895 068;5.89;2;1
895 069;5.24;2;1
895 070;4.52;2;1
895 098;4.40;2;1
872 770;5.13;2;1
872 771;4.91;2;1
872 772;4.62;2;1
896 671;4.53;2;1
872 769;4.38;2;1
885 852;4.43;2;1
885 853;4.32;2;1
892 500;4.12;2;1
885 854;3.95;2;1
885 855;3.85;2;1
894 775;5.80;2;1
896 621;5.60;2;1
895 091;5.03;2;1
895 092;4.83;2;1
895 539;4.58;2;1
886 742;5.20;2;1
886 743;4.80;2;1
896 676;4.75;2;1
886 744;4.60;2;1
875 423;6.23;2;1
873 950;6.18;2;1
892 456;5.98;2;1
896 672;4.71;2;1
873 972;4.56;2;1
872 583;6.72;2;1
872 582;1.58;2;1
872 585;6.15;2;1
867 774;5.96;2;1
872 555;4.68;2;1
872 556;4.33;2;1
872 557;4.21;2;1
896 677;4.08;2;1
839 694;3.93;2;1
872 560;6.72;2;1
872 562;1.61;2;1
872 559;6.15;2;1
VE11338;5.96;2;1
872 551;4.18;2;1
872 552;4.01;2;1
872 553;3.60;2;1
722 698;3.53;2;1
722 699;3.29;2;1
872 587;7.39;2;1
872 588;7.29;2;1
872 377;4.44;2;1
872 378;4.36;2;1
VE11257;4.08;2;1
VE11258;4.00;2;1
872 380;4.29;2;1
872 381;4.08;2;1
872 382;4.03;2;1
872 384;3.72;2;1
VE11277;3.58;2;1
VE11278;3.48;2;1
872 271;3.34;2;1
872 260;3.18;2;1
872 259;3.16;2;1
872 258;3.16;2;1
872 257;3.02;2;1
872 273;2.85;2;1
881 924;4.12;2;1
881 925;3.97;2;1
886 388;3.69;2;1
881 923;3.39;2;1
898 938;4.30;2;1
898 939;4.10;2;1
898 940;4.00;2;1
898 941;3.73;2;1
898 944;3.65;2;1
872 278;3.63;2;1
872 277;3.42;2;1
886 390;3.32;2;1
872 276;3.18;2;1
872 274;3.12;2;1
872 288;4.09;2;1
872 286;3.94;2;1
872 285;3.36;2;1
872 282;3.77;2;1
872 281;3.55;2;1
874 306;3.20;2;1
872 289;3.12;2;1
872 774;2.86;2;1
872 775;2.71;2;1
872 776;2.66;2;1
798 340;2.51;2;1
798 339;2.36;2;1
872 784;3.17;2;1
872 785;3.06;2;1
798 405;2.67;2;1
872 369;4.72;2;1
872 368;4.59;2;1
872 367;4.32;2;1
872 793;4.19;2;1
872 371;4.57;2;1
872 370;4.45;2;1
872 363;4.46;2;1
872 364;4.32;2;1
896 674;3.89;2;1
VE18058;3.74;2;1
872 295;3.62;2;1
872 296;3.49;2;1
872 297;3.43;2;1
872 328;3.24;2;1
VE17917;3.21;2;1
VE17918;3.04;2;1
872 361;3.76;2;1
872 362;3.51;2;1
873 433;4.85;2;1
873 434;4.74;2;1
873 338;5.02;2;1
873 339;4.79;2;1
873 431;4.71;2;1
873 432;4.52;2;1
892 451;5.30;2;1
892 452;4.85;2;1
896 950;4.75;2;1
897 025;4.60;2;1
892 454;5.65;2;1
892 455;5.20;2;1
897 021;5.10;2;1
897 026;4.95;2;1
VE18320;8.67;2;1
866 736;6.81;2;1
866 881;7.79;2;1
866 882;7.15;2;1
866 737;7.99;2;1
866 738;7.35;2;1
866 909;5.99;2;1
868 207;5.39;2;1
881 609;5.27;2;1
895 132;5.14;2;1
895 133;5.05;2;1
895 134;4.71;2;1
895 135;4.54;2;1
895 136;4.46;2;1
866 913;3.90;2;1
866 912;3.33;2;1
866 911;3.22;2;1
868 208;3.95;2;1
866 915;3.80;2;1
866 916;3.56;2;1
866 918;3.33;2;1
879 869;7.98;2;1
879 868;7.51;2;1
886 573;5.43;2;1
886 572;4.97;2;1
866 902;1.65;2;1
866 905;6.14;2;1
866 890;5.73;2;1
866 901;5.05;2;1
867 064;5.96;2;1
867 065;5.41;2;1
866 895;5.43;2;1
866 896;4.97;2;1
868 209;5.31;2;1
866 925;4.46;2;1
866 926;4.02;2;1
868 214;3.85;2;1
866 944;3.17;2;1
866 946;2.90;2;1
868 217;3.64;2;1
866 956;3.09;2;1
866 957;2.80;2;1
867 068;4.35;2;1
867 069;3.99;2;1
867 952;13.25;2;1
862 065;5.90;2;1
862 010;4.78;2;1
862 064;4.73;2;1
862 060;5.60;2;1
861 911;5.77;2;1
862 067;5.55;2;1
796 017;5.40;2;1
862 066;5.22;2;1
VE14007;5.09;2;1
862 061;4.13;2;1
VE14207;4.00;2;1
VE14217;3.92;2;1
862 063;4.58;2;1
879 997;4.54;2;1
795 859;5.15;2;1
795 860;5.15;2;1
795 881;5.15;2;1
VE885;5.11;2;1
VE90630;3.42;2;1
VE15960;3.58;2;1
VE16020;5.30;2;1
VE16040;4.00;2;1
895 414;3.09;2;1
890 530;4.83;2;1
890 542;5.19;2;1
890 545;6.14;2;1
896 057;5.79;2;1
890 547;4.75;2;1
895 400;3.03;2;1
889 586;5.16;2;1
896 094;5.16;2;1
889 580;5.04;2;1
896 055;4.81;2;1
889 579;4.61;2;1
