kod;cena;a;b
887 050;3.82;2;1
887 068;3.53;2;1
887 064;3.74;2;1
887 051;3.3;2;1
887 048;3.95;2;1
887 053;3.42;2;1
887 052;6.3;2;1
887 066;3.43;2;1
887 044;3.43;2;1
889 708;4.32;2;1
887 046;3.12;2;1
887 045;5.47;2;1
887 061;2.93;2;1
887 041;2.95;2;1
887 063;3.55;2;1
887 054;5.32;2;1
887 069;5.92;2;1
887 081;2.43;2;1
887 060;2.3;2;1
887 179;3.4;2;1
887 088;3.14;2;1
890 957;5.27;2;1
891 041;10.44;2;1
891 168;5.07;2;1
891 172;4.79;2;1
891 169;5.19;2;1
891 173;4.92;2;1
895 414;3.09;2;1
892 653;2.89;2;1
890 530;4.83;2;1
890 542;5.19;2;1
890 545;6.14;2;1
896 057;5.79;2;1
890 547;4.75;2;1
891 238;5.42;2;1
891 174;5.12;2;1
891 239;3.97;2;1
891 175;3.84;2;1
895 412;2.78;2;1
892 653;2.68;2;1
890 527;4.01;2;1
890 541;4.79;2;1
896 093;4.59;2;1
890 543;4.63;2;1
896 054;4.84;2;1
890 546;3.97;2;1
891 241;4.64;2;1
891 177;4.3;2;1
891 240;4.93;2;1
891 176;4.72;2;1
895 400;3.03;2;1
889 586;5.16;2;1
896 094;5.16;2;1
889 580;5.04;2;1
896 055;4.81;2;1
889 579;4.61;2;1
895 405;2.76;2;1
892 651;2.76;2;1
889 584;4.63;2;1
889 573;4.79;2;1
896 062;4.12;2;1
889 572;4.02;2;1
891 243;6.86;2;1
891 179;6.56;2;1
891 242;1.86;2;1
891 180;6.56;2;1
891 248;3.63;2;1
891 250;7.11;2;1
891 245;6.86;2;1
891 246;6.56;2;1
895 404;2.21;2;1
889 581;3.23;2;1
889 583;3.65;2;1
889 550;3.59;2;1
896 052;3.31;2;1
889 549;3.21;2;1
896 095;4.47;2;1
890 544;4.37;2;1
896 056;4.25;2;1
890 548;4.15;2;1
895 422;4.69;2;1
891 693;6.09;2;1
891 700;5.88;2;1
891 711;5.46;2;1
895 419;3.42;2;1
891 249;5.92;2;1
891 242;6.01;2;1
891 711;5.79;2;1
895 420;2.48;2;1
891 428;3.66;2;1
891 429;3.51;2;1
891 430;3.26;2;1
895 424;4.5;2;1
891 695;8.66;2;1
891 702;7.35;2;1
891 713;7.01;2;1
895 423;5.19;2;1
891 694;8.77;2;1
891 701;8.68;2;1
891 712;8.46;2;1
891 703;7.01;2;1
891 592;6.71;2;1
891 704;8.21;2;1
891 593;7.91;2;1
891 705;5.71;2;1
891 594;5.41;2;1
895 421;3.25;2;1
891 549;5.6;2;1
891 692;6.16;2;1
891 699;5.91;2;1
891 710;5.61;2;1
895 417;2.95;2;1
891 042;5.55;2;1
891 045;5.4;2;1
895 425;4.49;2;1
891 550;8.08;2;1
891 696;9.26;2;1
891 706;9.01;2;1
896 061;8.91;2;1
891 595;8.71;2;1
891 707;11.41;2;1
891 596;11.11;2;1
895 426;5.17;2;1
891 552;9.44;2;1
891 697;10.96;2;1
891 708;10.71;2;1
896 060;10.61;2;1
891 597;10.41;2;1
882 151;4.58;2;1
885 971;4.57;2;1
882 152;4.42;2;1
882 102;3.42;2;1
885 974;3.07;2;1
882 103;2.92;2;1
890 672;5.83;2;1
890 671;5.77;2;1
VE16206;2.37;2;1
VE16218;2.19;2;1
VE16215;0.2;2;1
VE16226;2.51;2;1
VE16238;2.37;2;1
VE16246;2.56;2;1
VE16258;2.37;2;1
VE16426;2.48;2;1
VE16438;2.13;2;1
VE16446;2.31;2;1
VE16458;2.27;2;1
VE16466;2.31;2;1
VE16478;2.17;2;1
885 976;3.16;2;1
VE16498;3.01;2;1
821 256;2.81;2;1
889 759;3.08;2;1
889 735;2.83;2;1
889 758;2.82;2;1
889 757;3.08;2;1
889 736;2.83;2;1
889 756;2.82;2;1
889 739;2.67;2;1
889 738;2.32;2;1
889 710;2.68;2;1
889 709;2.23;2;1
891 539;1.92;2;1
889 793;2.58;2;1
889 792;2.33;2;1
889 791;2.32;2;1
889 755;2.77;2;1
889 754;2.52;2;1
889 753;2.51;2;1
890 791;2.77;2;1
890 790;2.52;2;1
890 792;3.08;2;1
890 793;2.83;2;1
890 795;3.08;2;1
890 794;2.83;2;1
;0.2;2;1
890 797;2.88;2;1
890 796;2.63;2;1
890 799;2.53;2;1
890 798;2.28;2;1
890 801;2.48;2;1
890 800;2.23;2;1
889 726;2.43;2;1
889 727;2.18;2;1
891 536;2.07;2;1
889 729;2.53;2;1
889 728;2.18;2;1
891 537;2.07;2;1
889 732;2.59;2;1
889 731;2.34;2;1
889 730;2.23;2;1
889 816;2.88;2;1
889 733;2.63;2;1
889 815;2.62;2;1
889 819;2.53;2;1
889 818;2.28;2;1
889 817;2.27;2;1
889 822;2.58;2;1
889 821;2.33;2;1
889 820;2.32;2;1
890 787;3.03;2;1
890 786;2.78;2;1
890 789;3.03;2;1
890 788;2.78;2;1
889 814;3.03;2;1
889 734;2.78;2;1
889 813;2.77;2;1
889 812;3.03;2;1
889 811;2.78;2;1
889 760;2.77;2;1
882 108;5.22;2;1
882 146;5.12;2;1
891 076;5.47;2;1
891 068;5.22;2;1
882 110;5.62;2;1
882 148;5.52;2;1
891 074;3.32;2;1
891 066;3.07;2;1
891 075;3.22;2;1
891 067;2.97;2;1
891 077;3.12;2;1
891 069;2.87;2;1
891 078;3.12;2;1
891 070;2.87;2;1
891 079;3.17;2;1
891 071;2.92;2;1
891 080;3.22;2;1
891 072;2.97;2;1
891 081;3.32;2;1
891 073;3.07;2;1
891 220;3.17;2;1
891 199;2.92;2;1
891 221;3.42;2;1
891 200;3.17;2;1
891 222;3.22;2;1
891 211;2.97;2;1
891 223;3.37;2;1
891 212;3.05;2;1
891 224;3.37;2;1
891 213;3.05;2;1
891 225;3.32;2;1
891 214;3.07;2;1
891 226;3.42;2;1
891 215;3.17;2;1
891 228;8.8;2;1
891 217;8.55;2;1
882 173;2.77;2;1
891 227;2.97;2;1
891 216;2.72;2;1
891 229;3.15;2;1
891 218;3.02;2;1
888 603;5.21;2;1
888 604;5.72;2;1
897 671;3.46;2;1
897 673;3.21;2;1
890 747;3.33;2;1
890 746;3.08;2;1
890 749;3.46;2;1
890 748;3.21;2;1
890 761;3.46;2;1
890 750;3.21;2;1
890 763;3.52;2;1
890 762;3.27;2;1
890 803;3.11;2;1
890 802;2.86;2;1
890 805;3.11;2;1
890 804;2.86;2;1
890 807;3.11;2;1
890 806;2.86;2;1
890 809;3.16;2;1
890 808;2.91;2;1
890 831;3.16;2;1
890 810;2.91;2;1
890 824;3.16;2;1
890 823;2.91;2;1
890 825;3.41;2;1
890 826;3.16;2;1
890 828;3.46;2;1
890 827;3.21;2;1
890 830;3.51;2;1
890 829;3.26;2;1
882 115;4.97;2;1
882 161;4.83;2;1
882 116;5.03;2;1
882 162;4.93;2;1
882 117;5.1;2;1
882 163;4.98;2;1
882 118;5.47;2;1
882 164;5.22;2;1
