kod;cena1;supplierId;externalId
889 636;3.86;2;1
889 635;3.69;2;1
893 562;3.38;2;1
893 563;3.05;2;1
797 172;3.81;2;1
797 004;3.61;2;1
870 232;3.46;2;1
870 231;3.26;2;1
870 139;3.12;2;1
614 447;3.81;2;1
VE13938;3.61;2;1
881 885;3.08;2;1
881 883;2.89;2;1
881 741;2.86;2;1
VE13976;2.88;2;1
VE13978;2.6;2;1
VE13906;3.33;2;1
VE13918;2.96;2;1
895 537;2.86;2;1
895 536;2.67;2;1
895 533;2.41;2;1
889 723;3.53;2;1
889 722;3.26;2;1
886 581;2.83;2;1
886 586;2.6;2;1
886 202;2.51;2;1
886 248;2.83;2;1
886 247;2.57;2;1
807 011;2.98;2;1
806 950;2.71;2;1
VE13766;2.58;2;1
VE13777;2.47;2;1
VE13778;2.31;2;1
VE13779;2.1;2;1
802 221;3.95;2;1
890 729;2.76;2;1
890 728;2.49;2;1
VE13706;2.49;2;1
VE13717;2.33;2;1
VE13718;2.22;2;1
VE13719;2.12;2;1
890 707;2.41;2;1
890 730;2.14;2;1
882 135;2.92;2;1
886 169;2.84;2;1
870 235;2.89;2;1
870 234;2.57;2;1
893 637;3.48;2;1
893 638;3.12;2;1
893 656;3.39;2;1
893 657;2.98;2;1
874 346;3.14;2;1
874 345;2.99;2;1
871 983;3.15;2;1
891 717;3.13;2;1
891 718;2.91;2;1
885 731;3.07;2;1
885 651;2.83;2;1
881 223;2.55;2;1
881 222;2.47;2;1
890 745;2.9;2;1
890 744;2.63;2;1
VE17106;2.81;2;1
VE17118;2.56;2;1
866 913;3.655;2;1
866 912;3.085;2;1
866 911;2.975;2;1
868 208;3.63;2;1
866 915;3.58;2;1
866 916;3.24;2;1
866 918;3.01;2;1
868 211;6.99;2;1
866 932;6.69;2;1
866 933;6.77;2;1
866 934;6.67;2;1
882 024;6.25;2;1
882 028;6.08;2;1
866 948;4.7;2;1
868 210;6.08;2;1
866 929;4.98;2;1
866 930;4.84;2;1
866 927;8.37;2;1
868 215;3.85;2;1
868 216;3.42;2;1
866 951;3.25;2;1
879 813;6.56;2;1
879 814;6.37;2;1
866 941;3.23;2;1
866 942;2.69;2;1
868 209;4.98;2;1
866 925;4.18;2;1
866 926;3.69;2;1
866 923;4.38;2;1
866 924;4.14;2;1
868 214;3.6;2;1
866 944;2.92;2;1
866 946;2.65;2;1
868 217;3.39;2;1
866 956;2.84;2;1
866 957;2.55;2;1
890 957;4.63;2;1
891 041;9.255;2;1
891 168;3.975;2;1
891 172;3.775;2;1
891 169;3.975;2;1
891 173;3.775;2;1
890 525;2.39;2;1
892 653;2.63;2;1
890 529;4.44;2;1
890 542;4.555;2;1
890 545;3.855;2;1
890 547;3.775;2;1
891 238;4.275;2;1
891 174;4.075;2;1
891 239;3.045;2;1
891 175;2.845;2;1
890 523;1.88;2;1
892 652;2.12;2;1
890 527;3.42;2;1
890 541;3.665;2;1
890 543;2.965;2;1
890 546;2.845;2;1
891 240;3.545;2;1
891 177;3.345;2;1
891 240;3.045;2;1
891 176;2.845;2;1
889 577;2.39;2;1
889 586;3.975;2;1
889 580;3.275;2;1
889 579;3.145;2;1
889 571;2.255;2;1
892 651;2.455;2;1
889 584;4.335;2;1
889 573;3.635;2;1
889 572;3.375;2;1
891 243;6.095;2;1
891 179;5.795;2;1
891 244;6.095;2;1
891 180;5.795;2;1
891 248;3.445;2;1
891 250;6.345;2;1
891 245;6.095;2;1
891 246;5.795;2;1
889 548;2.135;2;1
889 581;3.685;2;1
889 583;3.675;2;1
889 550;2.975;2;1
889 549;2.735;2;1
890 544;3.025;2;1
890 548;2.905;2;1
885 940;4.39;2;1
882 151;4.22;2;1
885 971;4.23;2;1
882 152;4.06;2;1
885 973;3.23;2;1
882 102;2.86;2;1
885 974;2.73;2;1
882 103;2.56;2;1
VE16206;2.24;2;1
VE16218;2.04;2;1
VE16219;1.85;2;1
VE16226;2.27;2;1
VE16238;2.08;2;1
VE16239;1.86;2;1
VE16246;2.43;2;1
VE16258;2.22;2;1
VE16426;2.15;2;1
VE16438;1.98;2;1
VE16446;2.14;2;1
VE16458;1.96;2;1
VE16466;2.18;2;1
VE16478;2.02;2;1
885 976;0.2;2;1
VE16498;2.43;2;1
821 256;2.21;2;1
889 759;2.8;2;1
889 735;2.53;2;1
889 758;2.53;2;1
889 757;2.8;2;1
889 736;2.53;2;1
889 756;2.53;2;1
889 739;2.29;2;1
889 738;2.02;2;1
889 710;2.3;2;1
889 709;2.03;2;1
891 539;2.03;2;1
889 793;2.3;2;1
889 792;2.03;2;1
889 791;2.03;2;1
889 755;2.49;2;1
889 754;2.22;2;1
889 753;2.22;2;1
890 791;2.49;2;1
890 790;2.22;2;1
890 792;2.8;2;1
890 793;2.53;2;1
890 797;2.6;2;1
890 796;2.33;2;1
890 799;2.25;2;1
890 798;1.98;2;1
890 801;2.2;2;1
890 800;1.93;2;1
889 726;2.15;2;1
889 727;1.88;2;1
891 536;1.88;2;1
889 729;2.15;2;1
889 728;1.88;2;1
891 537;1.88;2;1
889 732;2.21;2;1
889 731;1.94;2;1
889 730;1.94;2;1
889 816;2.6;2;1
889 733;2.33;2;1
889 734;2.33;2;1
889 819;2.25;2;1
889 818;1.98;2;1
889 817;1.98;2;1
889 822;2.3;2;1
889 821;2.03;2;1
889 820;2.03;2;1
890 787;2.75;2;1
890 786;2.48;2;1
890 789;2.75;2;1
890 788;2.48;2;1
889 814;2.75;2;1
889 734;2.48;2;1
889 813;2.48;2;1
889 812;2.75;2;1
889 811;2.48;2;1
889 760;2.48;2;1
808 515;2.91;2;1
808 513;2.26;2;1
808 516;2.11;2;1
867 534;2.41;2;1
867 532;2.14;2;1
892 095;3.7;2;1
892 096;3.6;2;1
892 097;3.3;2;1
892 094;3.1;2;1
891 920;3.74;2;1
892 091;3.64;2;1
892 092;3.34;2;1
891 919;3.14;2;1
892 409;5.6;2;1
892 410;5.35;2;1
892 442;5.15;2;1
892 443;5.55;2;1
892 444;5.3;2;1
892 445;5.1;2;1
892 447;5.5;2;1
892 448;5.25;2;1
892 449;5.05;2;1
882 800;5.93;2;1
882 861;5.49;2;1
882 862;5.38;2;1
882 863;5.18;2;1
882 243;4.805;2;1
882 242;4.605;2;1
882 240;4.005;2;1
872 372;4.335;2;1
872 373;4.175;2;1
872 375;4.135;2;1
872 376;3.885;2;1
872 798;3.615;2;1
872 796;3.535;2;1
872 591;4.75;2;1
872 592;4.53;2;1
872 593;4.34;2;1
872 594;4;2;1
872 520;4.53;2;1
872 521;4.31;2;1
872 550;4.02;2;1
872 792;3.87;2;1
872 809;3.78;2;1
872 518;5.265;2;1
872 519;4.975;2;1
872 517;4.575;2;1
872 807;3.985;2;1
885 852;4.055;2;1
885 853;3.945;2;1
885 854;3.575;2;1
885 855;3.475;2;1
895 151;4.545;2;1
895 152;4.235;2;1
895 155;3.825;2;1
895 156;3.735;2;1
895 157;3.705;2;1
872 385;4.355;2;1
872 386;4.045;2;1
872 387;3.625;2;1
872 806;3.595;2;1
872 802;3.535;2;1
895 068;5.53;2;1
895 069;4.87;2;1
895 070;4.15;2;1
895 098;4.03;2;1
872 770;4.755;2;1
872 771;4.535;2;1
872 772;4.245;2;1
872 769;4.005;2;1
894 775;5.43;2;1
894 774;4.56;2;1
895 091;4.66;2;1
895 092;4.46;2;1
895 539;4.2;2;1
886 742;4.825;2;1
886 743;4.425;2;1
886 744;4.225;2;1
875 423;5.855;2;1
873 950;5.805;2;1
892 456;5.605;2;1
873 972;4.185;2;1
872 583;6.345;2;1
872 584;6.205;2;1
872 585;5.775;2;1
867 774;5.585;2;1
872 555;4.305;2;1
872 556;3.955;2;1
872 557;3.735;2;1
839 694;3.555;2;1
872 560;6.345;2;1
872 564;6.235;2;1
872 559;5.775;2;1
VE11338;5.585;2;1
872 551;3.815;2;1
872 552;3.645;2;1
872 553;3.235;2;1
722 698;3.165;2;1
722 699;2.925;2;1
872 587;7.015;2;1
872 588;6.915;2;1
872 377;4.095;2;1
872 378;4.015;2;1
VE11257;3.735;2;1
VE11258;3.555;2;1
872 380;3.94;2;1
872 381;3.73;2;1
872 382;3.68;2;1
872 384;3.37;2;1
VE11277;3.23;2;1
VE11278;3.13;2;1
872 271;2.98;2;1
872 260;2.82;2;1
872 259;2.8;2;1
872 258;2.8;2;1
872 257;2.66;2;1
872 273;2.49;2;1
881 924;3.815;2;1
881 925;3.665;2;1
886 388;3.385;2;1
881 923;3.085;2;1
872 278;3.34;2;1
872 277;3.13;2;1
886 390;3.03;2;1
872 276;2.89;2;1
872 274;2.83;2;1
872 288;3.805;2;1
872 286;3.655;2;1
872 285;3.075;2;1
872 282;3.485;2;1
872 281;3.265;2;1
874 306;2.915;2;1
872 289;2.835;2;1
872 779;2.88;2;1
872 780;2.73;2;1
834 431;2.39;2;1
834 147;2.29;2;1
872 774;2.56;2;1
872 775;2.41;2;1
872 776;2.36;2;1
798 340;2.21;2;1
798 339;2.06;2;1
872 784;2.86;2;1
872 785;2.75;2;1
798 405;2.36;2;1
872 369;4.375;2;1
872 368;4.245;2;1
872 367;3.975;2;1
872 793;3.845;2;1
872 371;4.225;2;1
872 370;4.105;2;1
872 363;4.095;2;1
872 364;3.955;2;1
VE18058;3.375;2;1
872 295;3.25;2;1
872 296;3.12;2;1
872 297;3.06;2;1
872 328;2.87;2;1
VE17917;2.84;2;1
VE17918;2.67;2;1
872 361;3.395;2;1
872 362;3.145;2;1
873 433;4.475;2;1
873 434;4.365;2;1
873 338;4.645;2;1
873 339;4.415;2;1
873 431;4.335;2;1
873 432;4.145;2;1
892 451;4.905;2;1
892 452;4.455;2;1
892 454;5.255;2;1
892 455;4.805;2;1
VE18320;8.37;2;1
866 736;6.565;2;1
866 881;7.545;2;1
866 882;6.905;2;1
866 737;7.545;2;1
866 738;6.905;2;1
866 907;5.145;2;1
868 206;4.725;2;1
866 909;5.445;2;1
868 207;4.845;2;1
866 885;4.895;2;1
867 092;4.805;2;1
866 886;4.465;2;1
866 887;4.295;2;1
866 888;4.215;2;1
866 913;3.655;2;1
866 912;3.085;2;1
866 911;2.975;2;1
868 208;3.63;2;1
866 915;3.58;2;1
866 916;3.24;2;1
866 918;3.01;2;1
879 869;7.33;2;1
879 868;6.85;2;1
886 573;5.18;2;1
886 572;4.72;2;1
866 904;6.24;2;1
866 905;5.74;2;1
866 890;5.48;2;1
866 901;4.8;2;1
867 064;5.61;2;1
867 065;5.06;2;1
866 895;5.17;2;1
866 896;4.72;2;1
868 209;4.98;2;1
866 925;4.18;2;1
866 926;3.69;2;1
868 214;3.6;2;1
866 944;2.92;2;1
866 946;2.65;2;1
868 217;3.39;2;1
866 956;2.84;2;1
866 957;2.55;2;1
867 068;4.08;2;1
867 069;3.62;2;1
VE15900;3.5;2;1
867 952;12.955;2;1
862 065;5.605;2;1
862 010;4.485;2;1
862 064;4.435;2;1
862 060;5.305;2;1
861 911;5.475;2;1
862 067;5.255;2;1
796 017;5.105;2;1
862 066;4.925;2;1
VE14007;4.795;2;1
862 061;3.835;2;1
VE14207;3.705;2;1
VE14217;3.625;2;1
862 063;4.305;2;1
879 962;2.93;2;1
795 859;4.875;2;1
795 860;4.875;2;1
795 881;4.875;2;1
VE885;4.695;2;1
VE90630;3.005;2;1
879 838;3.975;2;1
VE15960;3.275;2;1
VE16020;4.675;2;1
VE16040;3.725;2;1
890 525;2.39;2;1
890 529;4.44;2;1
890 542;4.555;2;1
890 545;3.855;2;1
890 547;3.775;2;1
889 577;2.39;2;1
889 586;3.975;2;1
889 580;3.275;2;1
889 579;3.145;2;1
890 523;1.88;2;1
890 527;3.42;2;1
890 541;3.665;2;1
890 543;2.965;2;1
890 546;2.845;2;1
890 544;3.025;2;1
883 429;2.72;2;1
883 461;4.165;2;1
883 464;3.705;2;1
883 462;4.835;2;1
887 095;3.45;2;1
887 112;3.9;2;1
VE20050;5.055;2;1
VE20040;4.285;2;1
801 431;4.065;2;1
887 096;3.69;2;1
VE20080;5.405;2;1
VE20070;4.735;2;1
802 260;4.405;2;1
887 098;5.15;2;1
887 099;3.56;2;1
887 100;3.62;2;1
887 111;4.45;2;1
890 610;4.12;2;1
890 604;4.12;2;1
890 611;2.33;2;1
890 605;2.48;2;1
890 609;3.01;2;1
890 608;2.61;2;1
890 607;3.01;2;1
890 603;2.32;2;1
890 602;2.4;2;1
890 606;3.79;2;1
887 452;4.97;2;1
VE55340;6.75;2;1
887 083;2.87;2;1
887 065;2.51;2;1
887 055;4.11;2;1
887 042;3.64;2;1
887 047;3.77;2;1
887 051;2.92;2;1
887 048;3.57;2;1
887 053;3.04;2;1
887 052;5.92;2;1
887 062;5.69;2;1
887 056;3.6;2;1
887 066;3.05;2;1
887 044;3.05;2;1
887 082;2.75;2;1
887 049;3.94;2;1
889 708;3.94;2;1
887 046;2.74;2;1
887 045;5.09;2;1
887 061;2.56;2;1
887 041;2.57;2;1
887 063;3.17;2;1
887 070;3.82;2;1
887 071;3.35;2;1
886 067;3.86;2;1
886 086;4.3;2;1
887 054;4.94;2;1
887 069;5.54;2;1
887 081;2.05;2;1
887 060;1.795;2;1
887 179;2.9;2;1
887 088;2.64;2;1
VE59020;2.725;2;1
VE91393;13.325;2;1
874 738;3.195;2;1
874 739;3.095;2;1
874 761;2.695;2;1
874 740;2.595;2;1
887 050;3.44;2;1
887 068;3.15;2;1
887 064;3.36;2;1
887 051;2.92;2;1
887 048;3.57;2;1
887 053;3.04;2;1
887 052;5.92;2;1
887 066;3.05;2;1
887 044;3.05;2;1
889 708;3.94;2;1
887 046;2.74;2;1
887 045;5.09;2;1
887 061;2.56;2;1
887 041;2.57;2;1
887 063;3.17;2;1
887 054;4.94;2;1
887 069;5.54;2;1
887 081;2.05;2;1
887 060;1.795;2;1
887 179;2.9;2;1
887 088;2.64;2;1
890 957;4.63;2;1
891 041;9.255;2;1
891 168;3.975;2;1
891 172;3.775;2;1
891 169;3.975;2;1
891 173;3.775;2;1
890 525;2.39;2;1
892 653;2.63;2;1
890 529;4.44;2;1
890 542;4.555;2;1
890 545;3.855;2;1
890 547;3.775;2;1
891 238;4.275;2;1
891 174;4.075;2;1
891 239;3.045;2;1
891 175;2.845;2;1
890 523;1.88;2;1
892 652;2.12;2;1
890 527;3.42;2;1
890 541;3.665;2;1
890 543;2.965;2;1
890 546;2.845;2;1
891 240;3.545;2;1
891 177;3.345;2;1
891 240;3.045;2;1
891 176;2.845;2;1
889 577;2.39;2;1
889 586;3.975;2;1
889 580;3.275;2;1
889 579;3.145;2;1
